
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Experience(yrs),number of EOM,EOY(points),DeadlinesMet,TaskAssigned,EOM points (agg),Manager Score,TaskCompleted,VRS
173.000000,1.000000,0.498391,0.501609,0.000000,0.000000,1.799624,0.000000,2.605596,0.673651,2.161347,0.000000,-6.240217
174.000000,0.035345,0.626144,0.373856,0.000000,0.000000,0.000000,0.000000,0.007405,0.000000,0.000000,0.000000,0.027940
175.000000,0.458259,0.570115,0.429884,5.971338,0.423372,0.000000,0.339212,0.000000,6.685129,0.889159,0.000000,-13.849949
176.000000,0.667332,0.772673,0.227327,0.709034,4.152280,1.949257,0.000000,0.000000,0.116703,2.132717,0.000000,-8.392658
177.000000,0.189367,0.882160,0.117840,0.335218,0.000000,0.133054,0.000000,0.000000,4.153198,0.000000,0.000000,-4.432103
178.000000,0.430422,0.812561,0.187439,0.000000,0.000000,3.810449,0.016932,0.000000,0.000000,0.301893,0.000000,-3.698852
179.000000,1.000000,0.491319,0.508681,0.000000,0.000000,7.558745,0.000000,0.000000,0.000000,2.544463,0.000000,-9.103208
180.000000,0.481103,0.553661,0.446339,0.000000,0.264507,0.732669,0.000000,0.000000,3.209288,0.790073,0.000000,-4.515434
181.000000,0.118468,0.874607,0.125393,0.000000,0.052847,0.356093,0.000000,0.000000,0.030695,0.000000,0.000000,-0.321168
182.000000,0.077586,0.431034,0.568966,1.241379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.163793
183.000000,1.000000,0.230225,0.769775,0.000000,0.635540,0.000000,0.161922,1.942634,0.000000,0.000000,0.000000,-1.740096
184.000000,0.663219,0.227121,0.772879,1.611910,0.355268,0.000000,0.000000,8.305026,0.000000,0.000000,0.000000,-9.608985
185.000000,1.000000,0.664958,0.335042,0.000000,8.389559,2.228522,0.000000,0.000000,0.000000,2.935185,0.000000,-12.553266
186.000000,0.145389,0.382000,0.618000,1.642796,0.359353,0.000000,0.000000,0.155075,0.000000,0.000000,0.000000,-2.011834
187.000000,1.000000,0.434379,0.565621,0.000000,1.867304,0.000000,0.000000,0.706077,1.504518,0.533028,0.000000,-3.610927
188.000000,0.164911,0.364766,0.635234,0.000000,0.000000,0.112883,0.000000,0.308512,0.000000,0.000000,0.000000,-0.256484
189.000000,0.058243,0.575456,0.424544,0.032167,0.000000,0.000000,0.000000,0.016679,0.000000,0.000000,0.000000,0.009397
190.000000,0.127097,0.802518,0.197482,0.106617,0.000000,0.223804,0.000000,0.142646,1.258233,0.000000,0.000000,-1.604202
191.000000,0.117425,0.629265,0.370735,0.017605,0.000000,0.253810,0.054917,0.091249,0.000000,0.199737,0.000000,-0.499892
192.000000,0.041700,0.917670,0.082330,0.000000,0.028405,0.000000,0.000000,0.001292,0.000000,0.000000,0.000000,0.012003
193.000000,0.088782,0.644136,0.355864,0.000000,0.027914,0.000000,0.000000,0.058405,0.000000,0.031074,0.000000,-0.028610
194.000000,0.185524,0.707930,0.292070,0.000000,0.014337,0.151453,0.000000,0.348092,0.000000,0.000000,0.000000,-0.328357
195.000000,0.104516,0.774510,0.225490,0.076289,0.000000,0.461043,0.000000,0.000000,0.076032,0.022390,0.000000,-0.531237
196.000000,0.536278,0.573277,0.426723,1.029956,0.000000,0.000000,0.134093,1.227732,1.105556,6.958424,0.000000,-9.919484
197.000000,0.377611,0.833346,0.166654,0.000000,0.550698,1.417035,0.000000,0.000000,2.154062,0.156020,0.000000,-3.900203
198.000000,1.000000,0.301616,0.698384,0.000000,0.862561,0.000000,0.000000,1.021831,1.644344,1.568864,0.000000,-4.097602
199.000000,0.300704,0.227990,0.772010,1.743745,0.716382,0.124827,0.000000,1.043945,0.000000,0.000000,0.000000,-3.328195
200.000000,0.072322,0.729573,0.270427,0.000000,0.032609,0.000000,0.008059,0.022710,0.023014,0.299710,0.000000,-0.313779
201.000000,1.000000,0.276430,0.723570,0.000000,0.256604,0.000000,0.000000,4.298022,0.000000,0.426133,0.000000,-3.980759
